分拣中心,日期,小时,货量
SC54,2023/12/08,14,392
SC54,2023/12/08,15,579
SC54,2023/12/08,16,1009
SC54,2023/12/08,17,460
SC54,2023/12/08,18,787
SC54,2023/12/08,19,774
SC54,2023/12/08,20,765
SC54,2023/12/08,21,804
SC54,2023/12/08,22,835
SC54,2023/12/08,23,841
SC54,2023/12/09,0,411
SC54,2023/12/09,1,379
SC54,2023/12/09,2,376
SC54,2023/12/09,3,368
SC54,2023/12/09,4,367
SC54,2023/12/09,5,358
SC54,2023/12/09,6,356
SC54,2023/12/09,7,390
SC54,2023/12/09,8,422
SC54,2023/12/09,9,663
SC54,2023/12/09,10,730
SC54,2023/12/09,11,738
SC54,2023/12/09,12,437
SC54,2023/12/09,13,659
SC54,2023/12/09,14,405
SC54,2023/12/09,15,589
SC54,2023/12/09,16,1011
SC54,2023/12/09,17,472
SC54,2023/12/09,18,793
SC54,2023/12/09,19,780
SC54,2023/12/09,20,771
SC54,2023/12/09,21,810
SC54,2023/12/09,22,840
SC54,2023/12/09,23,846
SC54,2023/12/10,0,423
SC54,2023/12/10,1,392
SC54,2023/12/10,2,389
SC54,2023/12/10,3,382
SC54,2023/12/10,4,380
SC54,2023/12/10,5,371
SC54,2023/12/10,6,369
SC54,2023/12/10,7,402
SC54,2023/12/10,8,434
SC54,2023/12/10,9,670
SC54,2023/12/10,10,736
SC54,2023/12/10,11,744
SC54,2023/12/10,12,448
SC54,2023/12/10,13,666
SC54,2023/12/10,14,417
SC54,2023/12/10,15,598
SC54,2023/12/10,16,1011
SC54,2023/12/10,17,483
SC54,2023/12/10,18,797
SC54,2023/12/10,19,784
SC54,2023/12/10,20,776
SC54,2023/12/10,21,814
SC54,2023/12/10,22,843
SC54,2023/12/10,23,849
SC54,2023/12/11,0,434
SC54,2023/12/11,1,403
SC54,2023/12/11,2,400
SC54,2023/12/11,3,393
SC54,2023/12/11,4,391
SC54,2023/12/11,5,383
SC54,2023/12/11,6,380
SC54,2023/12/11,7,413
SC54,2023/12/11,8,443
SC54,2023/12/11,9,675
SC54,2023/12/11,10,740
SC54,2023/12/11,11,748
SC54,2023/12/11,12,458
SC54,2023/12/11,13,671
SC54,2023/12/11,14,427
SC54,2023/12/11,15,604
SC54,2023/12/11,16,1010
SC54,2023/12/11,17,491
SC54,2023/12/11,18,800
SC54,2023/12/11,19,787
SC54,2023/12/11,20,778
SC54,2023/12/11,21,815
SC54,2023/12/11,22,844
SC54,2023/12/11,23,850
SC54,2023/12/12,0,443
SC54,2023/12/12,1,412
SC54,2023/12/12,2,410
SC54,2023/12/12,3,402
SC54,2023/12/12,4,400
SC54,2023/12/12,5,392
SC54,2023/12/12,6,390
SC54,2023/12/12,7,421
SC54,2023/12/12,8,451
SC54,2023/12/12,9,679
SC54,2023/12/12,10,742
SC54,2023/12/12,11,750
SC54,2023/12/12,12,465
SC54,2023/12/12,13,674
SC54,2023/12/12,14,434
SC54,2023/12/12,15,608
SC54,2023/12/12,16,1006
SC54,2023/12/12,17,497
SC54,2023/12/12,18,800
SC54,2023/12/12,19,787
SC54,2023/12/12,20,779
SC54,2023/12/12,21,815
SC54,2023/12/12,22,844
SC54,2023/12/12,23,849
SC54,2023/12/13,0,449
SC54,2023/12/13,1,419
SC54,2023/12/13,2,417
SC54,2023/12/13,3,409
SC54,2023/12/13,4,407
SC54,2023/12/13,5,399
SC54,2023/12/13,6,397
SC54,2023/12/13,7,428
SC54,2023/12/13,8,457
SC54,2023/12/13,9,680
SC54,2023/12/13,10,742
SC54,2023/12/13,11,750
SC54,2023/12/13,12,470
SC54,2023/12/13,13,676
SC54,2023/12/13,14,440
SC54,2023/12/13,15,611
SC54,2023/12/13,16,1001
SC54,2023/12/13,17,502
SC54,2023/12/13,18,799
SC54,2023/12/13,19,786
SC54,2023/12/13,20,778
SC54,2023/12/13,21,814
SC54,2023/12/13,22,841
SC54,2023/12/13,23,846
SC54,2023/12/14,0,454
SC54,2023/12/14,1,425
SC54,2023/12/14,2,422
SC54,2023/12/14,3,414
SC54,2023/12/14,4,413
SC54,2023/12/14,5,404
SC54,2023/12/14,6,402
SC54,2023/12/14,7,432
SC54,2023/12/14,8,461
SC54,2023/12/14,9,680
SC54,2023/12/14,10,741
SC54,2023/12/14,11,749
SC54,2023/12/14,12,474
SC54,2023/12/14,13,675
SC54,2023/12/14,14,444
SC54,2023/12/14,15,611
SC54,2023/12/14,16,995
SC54,2023/12/14,17,504
SC54,2023/12/14,18,796
SC54,2023/12/14,19,783
SC54,2023/12/14,20,775
SC54,2023/12/14,21,810
SC54,2023/12/14,22,837
SC54,2023/12/14,23,842
SC54,2023/12/15,0,457
SC54,2023/12/15,1,428
SC54,2023/12/15,2,425
SC54,2023/12/15,3,418
SC54,2023/12/15,4,416
SC54,2023/12/15,5,408
SC54,2023/12/15,6,406
SC54,2023/12/15,7,435
SC54,2023/12/15,8,463
SC54,2023/12/15,9,678
SC54,2023/12/15,10,738
SC54,2023/12/15,11,745
SC54,2023/12/15,12,475
SC54,2023/12/15,13,673
SC54,2023/12/15,14,446
SC54,2023/12/15,15,610
SC54,2023/12/15,16,986
SC54,2023/12/15,17,505
SC54,2023/12/15,18,791
SC54,2023/12/15,19,779
SC54,2023/12/15,20,771
SC54,2023/12/15,21,805
SC54,2023/12/15,22,831
SC54,2023/12/15,23,836
SC54,2023/12/16,0,458
SC54,2023/12/16,1,430
SC54,2023/12/16,2,427
SC54,2023/12/16,3,419
SC54,2023/12/16,4,417
SC54,2023/12/16,5,409
SC54,2023/12/16,6,407
SC54,2023/12/16,7,436
SC54,2023/12/16,8,464
SC54,2023/12/16,9,675
SC54,2023/12/16,10,733
SC54,2023/12/16,11,740
SC54,2023/12/16,12,475
SC54,2023/12/16,13,669
SC54,2023/12/16,14,446
SC54,2023/12/16,15,607
SC54,2023/12/16,16,976
SC54,2023/12/16,17,504
SC54,2023/12/16,18,784
SC54,2023/12/16,19,772
SC54,2023/12/16,20,764
SC54,2023/12/16,21,798
SC54,2023/12/16,22,824
SC54,2023/12/16,23,828
SC54,2023/12/17,0,457
SC54,2023/12/17,1,429
SC54,2023/12/17,2,426
SC54,2023/12/17,3,419
SC54,2023/12/17,4,417
SC54,2023/12/17,5,409
SC54,2023/12/17,6,407
SC54,2023/12/17,7,435
SC54,2023/12/17,8,462
SC54,2023/12/17,9,669
SC54,2023/12/17,10,726
SC54,2023/12/17,11,733
SC54,2023/12/17,12,473
SC54,2023/12/17,13,663
SC54,2023/12/17,14,445
SC54,2023/12/17,15,603
SC54,2023/12/17,16,965
SC54,2023/12/17,17,501
SC54,2023/12/17,18,776
SC54,2023/12/17,19,764
SC54,2023/12/17,20,756
SC54,2023/12/17,21,789
SC54,2023/12/17,22,815
SC54,2023/12/17,23,819
SC54,2023/12/18,0,455
SC54,2023/12/18,1,427
SC54,2023/12/18,2,424
SC54,2023/12/18,3,417
SC54,2023/12/18,4,415
SC54,2023/12/18,5,407
SC54,2023/12/18,6,405
SC54,2023/12/18,7,433
SC54,2023/12/18,8,459
SC54,2023/12/18,9,662
SC54,2023/12/18,10,718
SC54,2023/12/18,11,725
SC54,2023/12/18,12,470
SC54,2023/12/18,13,656
SC54,2023/12/18,14,441
SC54,2023/12/18,15,596
SC54,2023/12/18,16,952
SC54,2023/12/18,17,496
SC54,2023/12/18,18,767
SC54,2023/12/18,19,755
SC54,2023/12/18,20,747
SC54,2023/12/18,21,779
SC54,2023/12/18,22,804
SC54,2023/12/18,23,808
SC54,2023/12/19,0,451
SC54,2023/12/19,1,423
SC54,2023/12/19,2,420
SC54,2023/12/19,3,413
SC54,2023/12/19,4,411
SC54,2023/12/19,5,403
SC54,2023/12/19,6,401
SC54,2023/12/19,7,428
SC54,2023/12/19,8,454
SC54,2023/12/19,9,653
SC54,2023/12/19,10,708
SC54,2023/12/19,11,715
SC54,2023/12/19,12,464
SC54,2023/12/19,13,647
SC54,2023/12/19,14,436
SC54,2023/12/19,15,588
SC54,2023/12/19,16,937
SC54,2023/12/19,17,490
SC54,2023/12/19,18,755
SC54,2023/12/19,19,744
SC54,2023/12/19,20,736
SC54,2023/12/19,21,767
SC54,2023/12/19,22,791
SC54,2023/12/19,23,796
SC54,2023/12/20,0,445
SC54,2023/12/20,1,418
SC54,2023/12/20,2,415
SC54,2023/12/20,3,408
SC54,2023/12/20,4,406
SC54,2023/12/20,5,398
SC54,2023/12/20,6,396
SC54,2023/12/20,7,422
SC54,2023/12/20,8,447
SC54,2023/12/20,9,643
SC54,2023/12/20,10,697
SC54,2023/12/20,11,703
SC54,2023/12/20,12,457
SC54,2023/12/20,13,637
SC54,2023/12/20,14,430
SC54,2023/12/20,15,579
SC54,2023/12/20,16,921
SC54,2023/12/20,17,482
SC54,2023/12/20,18,742
SC54,2023/12/20,19,731
SC54,2023/12/20,20,723
SC54,2023/12/20,21,754
SC54,2023/12/20,22,777
SC54,2023/12/20,23,781
SC54,2023/12/21,0,437
SC54,2023/12/21,1,411
SC54,2023/12/21,2,408
SC54,2023/12/21,3,401
SC54,2023/12/21,4,398
SC54,2023/12/21,5,391
SC54,2023/12/21,6,388
SC54,2023/12/21,7,414
SC54,2023/12/21,8,439
SC54,2023/12/21,9,631
SC54,2023/12/21,10,684
SC54,2023/12/21,11,690
SC54,2023/12/21,12,448
SC54,2023/12/21,13,624
SC54,2023/12/21,14,421
SC54,2023/12/21,15,568
SC54,2023/12/21,16,903
SC54,2023/12/21,17,472
SC54,2023/12/21,18,728
SC54,2023/12/21,19,716
SC54,2023/12/21,20,709
SC54,2023/12/21,21,739
SC54,2023/12/21,22,762
SC54,2023/12/21,23,766
SC54,2023/12/22,0,428
SC54,2023/12/22,1,402
SC54,2023/12/22,2,399
SC54,2023/12/22,3,392
SC54,2023/12/22,4,390
SC54,2023/12/22,5,382
SC54,2023/12/22,6,379
SC54,2023/12/22,7,405
SC54,2023/12/22,8,429
SC54,2023/12/22,9,617
SC54,2023/12/22,10,669
SC54,2023/12/22,11,675
SC54,2023/12/22,12,438
SC54,2023/12/22,13,611
SC54,2023/12/22,14,411
SC54,2023/12/22,15,555
SC54,2023/12/22,16,884
SC54,2023/12/22,17,461
SC54,2023/12/22,18,712
SC54,2023/12/22,19,701
SC54,2023/12/22,20,693
SC54,2023/12/22,21,722
SC54,2023/12/22,22,745
SC54,2023/12/22,23,749
SC54,2023/12/23,0,417
SC54,2023/12/23,1,391
SC54,2023/12/23,2,388
SC54,2023/12/23,3,381
SC54,2023/12/23,4,379
SC54,2023/12/23,5,372
SC54,2023/12/23,6,369
SC54,2023/12/23,7,394
SC54,2023/12/23,8,418
SC54,2023/12/23,9,602
SC54,2023/12/23,10,653
SC54,2023/12/23,11,659
SC54,2023/12/23,12,426
SC54,2023/12/23,13,595
SC54,2023/12/23,14,400
SC54,2023/12/23,15,540
SC54,2023/12/23,16,864
SC54,2023/12/23,17,448
SC54,2023/12/23,18,694
SC54,2023/12/23,19,683
SC54,2023/12/23,20,676
SC54,2023/12/23,21,704
SC54,2023/12/23,22,727
SC54,2023/12/23,23,730
SC54,2023/12/24,0,404
SC54,2023/12/24,1,379
SC54,2023/12/24,2,376
SC54,2023/12/24,3,369
SC54,2023/12/24,4,367
SC54,2023/12/24,5,360
SC54,2023/12/24,6,357
SC54,2023/12/24,7,381
SC54,2023/12/24,8,405
SC54,2023/12/24,9,586
SC54,2023/12/24,10,635
SC54,2023/12/24,11,641
SC54,2023/12/24,12,412
SC54,2023/12/24,13,579
SC54,2023/12/24,14,386
SC54,2023/12/24,15,524
SC54,2023/12/24,16,842
SC54,2023/12/24,17,434
SC54,2023/12/24,18,675
SC54,2023/12/24,19,664
SC54,2023/12/24,20,657
SC54,2023/12/24,21,685
SC54,2023/12/24,22,707
SC54,2023/12/24,23,710
SC54,2023/12/25,0,390
SC54,2023/12/25,1,366
SC54,2023/12/25,2,362
SC54,2023/12/25,3,356
SC54,2023/12/25,4,353
SC54,2023/12/25,5,346
SC54,2023/12/25,6,343
SC54,2023/12/25,7,367
SC54,2023/12/25,8,390
SC54,2023/12/25,9,568
SC54,2023/12/25,10,616
SC54,2023/12/25,11,622
SC54,2023/12/25,12,397
SC54,2023/12/25,13,560
SC54,2023/12/25,14,372
SC54,2023/12/25,15,507
SC54,2023/12/25,16,818
SC54,2023/12/25,17,418
SC54,2023/12/25,18,655
SC54,2023/12/25,19,644
SC54,2023/12/25,20,637
SC54,2023/12/25,21,664
SC54,2023/12/25,22,685
SC54,2023/12/25,23,689
SC54,2023/12/26,0,375
SC54,2023/12/26,1,350
SC54,2023/12/26,2,347
SC54,2023/12/26,3,340
SC54,2023/12/26,4,338
SC54,2023/12/26,5,331
SC54,2023/12/26,6,328
SC54,2023/12/26,7,352
SC54,2023/12/26,8,374
SC54,2023/12/26,9,548
SC54,2023/12/26,10,596
SC54,2023/12/26,11,601
SC54,2023/12/26,12,381
SC54,2023/12/26,13,541
SC54,2023/12/26,14,355
SC54,2023/12/26,15,488
SC54,2023/12/26,16,794
SC54,2023/12/26,17,401
SC54,2023/12/26,18,633
SC54,2023/12/26,19,622
SC54,2023/12/26,20,615
SC54,2023/12/26,21,642
SC54,2023/12/26,22,663
SC54,2023/12/26,23,666
SC54,2023/12/27,0,358
SC54,2023/12/27,1,334
SC54,2023/12/27,2,331
SC54,2023/12/27,3,324
SC54,2023/12/27,4,321
SC54,2023/12/27,5,314
SC54,2023/12/27,6,312
SC54,2023/12/27,7,334
SC54,2023/12/27,8,356
SC54,2023/12/27,9,527
SC54,2023/12/27,10,574
SC54,2023/12/27,11,579
SC54,2023/12/27,12,363
SC54,2023/12/27,13,520
SC54,2023/12/27,14,338
SC54,2023/12/27,15,468
SC54,2023/12/27,16,768
SC54,2023/12/27,17,382
SC54,2023/12/27,18,610
SC54,2023/12/27,19,599
SC54,2023/12/27,20,592
SC54,2023/12/27,21,618
SC54,2023/12/27,22,639
SC54,2023/12/27,23,642
SC54,2023/12/28,0,339
SC54,2023/12/28,1,315
SC54,2023/12/28,2,312
SC54,2023/12/28,3,306
SC54,2023/12/28,4,303
SC54,2023/12/28,5,296
SC54,2023/12/28,6,293
SC54,2023/12/28,7,316
SC54,2023/12/28,8,337
SC54,2023/12/28,9,505
SC54,2023/12/28,10,551
SC54,2023/12/28,11,555
SC54,2023/12/28,12,343
SC54,2023/12/28,13,497
SC54,2023/12/28,14,318
SC54,2023/12/28,15,446
SC54,2023/12/28,16,740
SC54,2023/12/28,17,362
SC54,2023/12/28,18,585
SC54,2023/12/28,19,575
SC54,2023/12/28,20,568
SC54,2023/12/28,21,594
SC54,2023/12/28,22,613
SC54,2023/12/28,23,616
SC54,2023/12/29,0,319
SC54,2023/12/29,1,296
SC54,2023/12/29,2,293
SC54,2023/12/29,3,286
SC54,2023/12/29,4,284
SC54,2023/12/29,5,277
SC54,2023/12/29,6,274
SC54,2023/12/29,7,296
SC54,2023/12/29,8,317
SC54,2023/12/29,9,481
SC54,2023/12/29,10,526
SC54,2023/12/29,11,531
SC54,2023/12/29,12,322
SC54,2023/12/29,13,473
SC54,2023/12/29,14,298
SC54,2023/12/29,15,423
SC54,2023/12/29,16,712
SC54,2023/12/29,17,340
SC54,2023/12/29,18,559
SC54,2023/12/29,19,549
SC54,2023/12/29,20,542
SC54,2023/12/29,21,567
SC54,2023/12/29,22,587
SC54,2023/12/29,23,589
SC54,2023/12/30,0,298
SC54,2023/12/30,1,275
SC54,2023/12/30,2,272
SC54,2023/12/30,3,265
SC54,2023/12/30,4,263
SC54,2023/12/30,5,256
SC54,2023/12/30,6,253
SC54,2023/12/30,7,274
SC54,2023/12/30,8,295
SC54,2023/12/30,9,456
SC54,2023/12/30,10,500
SC54,2023/12/30,11,504
SC54,2023/12/30,12,300
SC54,2023/12/30,13,448
SC54,2023/12/30,14,276
SC54,2023/12/30,15,399
SC54,2023/12/30,16,682
SC54,2023/12/30,17,317
SC54,2023/12/30,18,532
SC54,2023/12/30,19,522
SC54,2023/12/30,20,515
SC54,2023/12/30,21,540
SC54,2023/12/30,22,559
SC54,2023/12/30,23,561
SC32,2023/12/01,0,153
SC32,2023/12/01,1,163
SC32,2023/12/01,2,167
SC32,2023/12/01,3,169
SC32,2023/12/01,4,169
SC32,2023/12/01,5,169
SC32,2023/12/01,6,170
SC32,2023/12/01,7,170
SC32,2023/12/01,8,170
SC32,2023/12/01,9,170
SC32,2023/12/01,10,170
SC32,2023/12/01,11,170
SC32,2023/12/01,12,170
SC32,2023/12/01,13,170
SC32,2023/12/01,14,170
SC32,2023/12/01,15,170
SC32,2023/12/01,16,170
SC32,2023/12/01,17,170
SC32,2023/12/01,18,170
SC32,2023/12/01,19,170
SC32,2023/12/01,20,170
SC32,2023/12/01,21,170
SC32,2023/12/01,22,170
SC32,2023/12/01,23,170
SC32,2023/12/02,0,170
SC32,2023/12/02,1,170
SC32,2023/12/02,2,170
SC32,2023/12/02,3,170
SC32,2023/12/02,4,170
SC32,2023/12/02,5,170
SC32,2023/12/02,6,170
SC32,2023/12/02,7,170
SC32,2023/12/02,8,170
SC32,2023/12/02,9,170
SC32,2023/12/02,10,170
SC32,2023/12/02,11,170
SC32,2023/12/02,12,170
SC32,2023/12/02,13,170
SC32,2023/12/02,14,170
SC32,2023/12/02,15,170
SC32,2023/12/02,16,170
SC32,2023/12/02,17,170
SC32,2023/12/02,18,170
SC32,2023/12/02,19,170
SC32,2023/12/02,20,170
SC32,2023/12/02,21,170
SC32,2023/12/02,22,170
SC32,2023/12/02,23,170
SC32,2023/12/03,0,170
SC32,2023/12/03,1,170
SC32,2023/12/03,2,170
SC32,2023/12/03,3,170
SC32,2023/12/03,4,170
SC32,2023/12/03,5,170
SC32,2023/12/03,6,170
SC32,2023/12/03,7,170
SC32,2023/12/03,8,170
SC32,2023/12/03,9,170
SC32,2023/12/03,10,170
SC32,2023/12/03,11,170
SC32,2023/12/03,12,170
SC32,2023/12/03,13,170
SC32,2023/12/03,14,170
SC32,2023/12/03,15,170
SC32,2023/12/03,16,170
SC32,2023/12/03,17,170
SC32,2023/12/03,18,170
SC32,2023/12/03,19,170
SC32,2023/12/03,20,170
SC32,2023/12/03,21,170
SC32,2023/12/03,22,170
SC32,2023/12/03,23,170
SC32,2023/12/04,0,170
SC32,2023/12/04,1,170
SC32,2023/12/04,2,170
SC32,2023/12/04,3,170
SC32,2023/12/04,4,170
SC32,2023/12/04,5,170
SC32,2023/12/04,6,170
SC32,2023/12/04,7,170
SC32,2023/12/04,8,170
SC32,2023/12/04,9,170
SC32,2023/12/04,10,170
SC32,2023/12/04,11,170
SC32,2023/12/04,12,170
SC32,2023/12/04,13,170
SC32,2023/12/04,14,170
SC32,2023/12/04,15,170
SC32,2023/12/04,16,170
SC32,2023/12/04,17,170
SC32,2023/12/04,18,170
SC32,2023/12/04,19,170
SC32,2023/12/04,20,170
SC32,2023/12/04,21,170
SC32,2023/12/04,22,170
SC32,2023/12/04,23,170
SC32,2023/12/05,0,170
SC32,2023/12/05,1,170
SC32,2023/12/05,2,170
SC32,2023/12/05,3,170
SC32,2023/12/05,4,170
SC32,2023/12/05,5,170
SC32,2023/12/05,6,170
SC32,2023/12/05,7,170
SC32,2023/12/05,8,170
SC32,2023/12/05,9,170
SC32,2023/12/05,10,170
SC32,2023/12/05,11,170
SC32,2023/12/05,12,170
SC32,2023/12/05,13,170
SC32,2023/12/05,14,170
SC32,2023/12/05,15,170
SC32,2023/12/05,16,170
SC32,2023/12/05,17,170
SC32,2023/12/05,18,170
SC32,2023/12/05,19,170
SC32,2023/12/05,20,170
SC32,2023/12/05,21,170
SC32,2023/12/05,22,170
SC32,2023/12/05,23,170
SC32,2023/12/06,0,170
SC32,2023/12/06,1,170
SC32,2023/12/06,2,170
SC32,2023/12/06,3,170
SC32,2023/12/06,4,170
SC32,2023/12/06,5,170
SC32,2023/12/06,6,170
SC32,2023/12/06,7,170
SC32,2023/12/06,8,170
SC32,2023/12/06,9,170
SC32,2023/12/06,10,170
SC32,2023/12/06,11,170
SC32,2023/12/06,12,170
SC32,2023/12/06,13,170
SC32,2023/12/06,14,170
SC32,2023/12/06,15,170
SC32,2023/12/06,16,170
SC32,2023/12/06,17,170
SC32,2023/12/06,18,170
SC32,2023/12/06,19,170
SC32,2023/12/06,20,170
SC32,2023/12/06,21,170
SC32,2023/12/06,22,170
SC32,2023/12/06,23,170
SC32,2023/12/07,0,170
SC32,2023/12/07,1,170
SC32,2023/12/07,2,170
SC32,2023/12/07,3,170
SC32,2023/12/07,4,170
SC32,2023/12/07,5,170
SC32,2023/12/07,6,170
SC32,2023/12/07,7,170
SC32,2023/12/07,8,170
SC32,2023/12/07,9,170
SC32,2023/12/07,10,170
SC32,2023/12/07,11,170
SC32,2023/12/07,12,170
SC32,2023/12/07,13,170
SC32,2023/12/07,14,170
SC32,2023/12/07,15,170
SC32,2023/12/07,16,170
SC32,2023/12/07,17,170
SC32,2023/12/07,18,170
SC32,2023/12/07,19,170
SC32,2023/12/07,20,170
SC32,2023/12/07,21,170
SC32,2023/12/07,22,170
SC32,2023/12/07,23,170
SC32,2023/12/08,0,170
SC32,2023/12/08,1,170
SC32,2023/12/08,2,170
SC32,2023/12/08,3,170
SC32,2023/12/08,4,170
SC32,2023/12/08,5,170
SC32,2023/12/08,6,170
SC32,2023/12/08,7,170
SC32,2023/12/08,8,170
SC32,2023/12/08,9,170
SC32,2023/12/08,10,170
SC32,2023/12/08,11,170
SC32,2023/12/08,12,170
SC32,2023/12/08,13,170
SC32,2023/12/08,14,170
SC32,2023/12/08,15,170
SC32,2023/12/08,16,170
SC32,2023/12/08,17,170
SC32,2023/12/08,18,170
SC32,2023/12/08,19,170
SC32,2023/12/08,20,170
SC32,2023/12/08,21,170
SC32,2023/12/08,22,170
SC32,2023/12/08,23,170
SC32,2023/12/09,0,170
SC32,2023/12/09,1,170
SC32,2023/12/09,2,170
SC32,2023/12/09,3,170
SC32,2023/12/09,4,170
SC32,2023/12/09,5,170
SC32,2023/12/09,6,170
SC32,2023/12/09,7,170
SC32,2023/12/09,8,170
SC32,2023/12/09,9,170
SC32,2023/12/09,10,170
SC32,2023/12/09,11,170
SC32,2023/12/09,12,170
SC32,2023/12/09,13,170
SC32,2023/12/09,14,170
SC32,2023/12/09,15,170
SC32,2023/12/09,16,170
SC32,2023/12/09,17,170
