分拣中心,日期,货量
SC54,2023/12/11,10591
SC54,2023/12/12,10603
SC54,2023/12/13,10612
SC54,2023/12/14,10619
SC54,2023/12/15,10623
SC54,2023/12/16,10627
SC54,2023/12/17,10629
SC54,2023/12/18,10631
SC54,2023/12/19,10632
SC54,2023/12/20,10633
SC54,2023/12/21,10634
SC54,2023/12/22,10634
SC54,2023/12/23,10635
SC54,2023/12/24,10635
SC54,2023/12/25,10635
SC54,2023/12/26,10635
SC54,2023/12/27,10635
SC54,2023/12/28,10636
SC54,2023/12/29,10636
SC54,2023/12/30,10636
SC68,2023/12/01,1556
SC68,2023/12/02,1556
SC68,2023/12/03,1556
SC68,2023/12/04,1556
SC68,2023/12/05,1556
SC68,2023/12/06,1556
SC68,2023/12/07,1556
SC68,2023/12/08,1556
SC68,2023/12/09,1556
SC68,2023/12/10,1556
SC68,2023/12/11,1556
SC68,2023/12/12,1556
SC68,2023/12/13,1556
SC68,2023/12/14,1556
SC68,2023/12/15,1556
SC68,2023/12/16,1556
SC68,2023/12/17,1556
SC68,2023/12/18,1556
SC68,2023/12/19,1556
SC68,2023/12/20,1556
SC68,2023/12/21,1556
SC68,2023/12/22,1556
SC68,2023/12/23,1556
SC68,2023/12/24,1556
SC68,2023/12/25,1556
SC68,2023/12/26,1556
SC68,2023/12/27,1556
SC68,2023/12/28,1556
SC68,2023/12/29,1556
SC68,2023/12/30,1556
SC44,2023/12/01,16665
SC44,2023/12/02,16665
SC44,2023/12/03,16665
SC44,2023/12/04,16665
SC44,2023/12/05,16665
SC44,2023/12/06,16665
SC44,2023/12/07,16665
SC44,2023/12/08,16665
SC44,2023/12/09,16665
SC44,2023/12/10,16665
SC44,2023/12/11,16665
SC44,2023/12/12,16665
SC44,2023/12/13,16665
SC44,2023/12/14,16665
SC44,2023/12/15,16665
SC44,2023/12/16,16665
SC44,2023/12/17,16665
SC44,2023/12/18,16665
SC44,2023/12/19,16665
SC44,2023/12/20,16665
SC44,2023/12/21,16665
SC44,2023/12/22,16665
SC44,2023/12/23,16665
SC44,2023/12/24,16665
SC44,2023/12/25,16665
SC44,2023/12/26,16665
SC44,2023/12/27,16665
SC44,2023/12/28,16665
SC44,2023/12/29,16665
SC44,2023/12/30,16665
SC15,2023/12/01,5267
SC15,2023/12/02,4743
SC15,2023/12/03,4543
SC15,2023/12/04,4543
SC15,2023/12/05,4543
SC15,2023/12/06,4543
SC15,2023/12/07,4543
SC15,2023/12/08,4543
SC15,2023/12/09,4543
SC15,2023/12/10,4543
SC15,2023/12/11,4543
SC15,2023/12/12,4543
SC15,2023/12/13,4543
SC15,2023/12/14,4543
SC15,2023/12/15,4543
SC15,2023/12/16,4543
SC15,2023/12/17,4543
SC15,2023/12/18,4543
SC15,2023/12/19,4543
SC15,2023/12/20,4543
SC15,2023/12/21,4543
SC15,2023/12/22,4543
SC15,2023/12/23,4543
SC15,2023/12/24,4543
SC15,2023/12/25,4543
SC15,2023/12/26,4543
SC15,2023/12/27,4543
SC15,2023/12/28,4543
SC15,2023/12/29,4543
SC15,2023/12/30,4543
SC66,2023/12/01,1029
SC66,2023/12/02,1027
SC66,2023/12/03,1026
SC66,2023/12/04,1026
SC66,2023/12/05,1026
SC66,2023/12/06,1026
SC66,2023/12/07,1026
SC66,2023/12/08,1026
SC66,2023/12/09,1026
SC66,2023/12/10,1026
SC66,2023/12/11,1026
SC66,2023/12/12,1026
SC66,2023/12/13,1026
SC66,2023/12/14,1026
SC66,2023/12/15,1026
SC66,2023/12/16,1026
SC66,2023/12/17,1026
SC66,2023/12/18,1026
SC66,2023/12/19,1026
SC66,2023/12/20,1026
SC66,2023/12/21,1026
SC66,2023/12/22,1026
SC66,2023/12/23,1026
SC66,2023/12/24,1026
SC66,2023/12/25,1026
SC66,2023/12/26,1026
SC66,2023/12/27,1026
SC66,2023/12/28,1026
SC66,2023/12/29,1026
SC66,2023/12/30,1026
SC9,2023/12/01,27480
SC9,2023/12/02,27480
SC9,2023/12/03,27480
SC9,2023/12/04,27480
SC9,2023/12/05,27480
SC9,2023/12/06,27480
SC9,2023/12/07,27480
SC9,2023/12/08,27480
SC9,2023/12/09,27480
SC9,2023/12/10,27480
SC9,2023/12/11,27480
SC9,2023/12/12,27480
SC9,2023/12/13,27480
SC9,2023/12/14,27480
SC9,2023/12/15,27480
SC9,2023/12/16,27480
SC9,2023/12/17,27480
SC9,2023/12/18,27480
SC9,2023/12/19,27480
SC9,2023/12/20,27480
SC9,2023/12/21,27480
SC9,2023/12/22,27480
SC9,2023/12/23,27480
SC9,2023/12/24,27480
SC9,2023/12/25,27480
SC9,2023/12/26,27480
SC9,2023/12/27,27480
SC9,2023/12/28,27480
SC9,2023/12/29,27480
SC9,2023/12/30,27480
SC53,2023/12/01,32736
SC53,2023/12/02,32736
SC53,2023/12/03,32736
SC53,2023/12/04,32736
SC53,2023/12/05,32736
SC53,2023/12/06,32736
SC53,2023/12/07,32736
SC53,2023/12/08,32736
SC53,2023/12/09,32736
SC53,2023/12/10,32736
SC53,2023/12/11,32736
SC53,2023/12/12,32736
SC53,2023/12/13,32736
SC53,2023/12/14,32736
SC53,2023/12/15,32736
SC53,2023/12/16,32736
SC53,2023/12/17,32736
SC53,2023/12/18,32736
SC53,2023/12/19,32736
SC53,2023/12/20,32736
SC53,2023/12/21,32736
SC53,2023/12/22,32736
SC53,2023/12/23,32736
SC53,2023/12/24,32736
SC53,2023/12/25,32736
SC53,2023/12/26,32736
SC53,2023/12/27,32736
SC53,2023/12/28,32736
SC53,2023/12/29,32736
SC53,2023/12/30,32736
SC38,2023/12/01,3730
SC38,2023/12/02,3620
SC38,2023/12/03,3770
SC38,2023/12/04,4009
SC38,2023/12/05,4116
SC38,2023/12/06,4453
SC38,2023/12/07,4632
SC38,2023/12/08,4747
SC38,2023/12/09,4720
SC38,2023/12/10,4688
SC38,2023/12/11,4655
SC38,2023/12/12,4619
SC38,2023/12/13,4646
SC38,2023/12/14,4634
SC38,2023/12/15,4602
SC38,2023/12/16,4565
SC38,2023/12/17,4532
SC38,2023/12/18,4508
SC38,2023/12/19,4494
SC38,2023/12/20,4489
SC38,2023/12/21,4490
SC38,2023/12/22,4495
SC38,2023/12/23,4500
SC38,2023/12/24,4505
SC38,2023/12/25,4509
SC38,2023/12/26,4511
SC38,2023/12/27,4512
SC38,2023/12/28,4512
SC38,2023/12/29,4511
SC38,2023/12/30,4510
SC20,2023/12/01,68
SC20,2023/12/02,180
SC20,2023/12/03,128
SC20,2023/12/04,183
SC20,2023/12/05,172
SC20,2023/12/06,197
SC20,2023/12/07,200
SC20,2023/12/08,213
SC20,2023/12/09,210
SC20,2023/12/10,215
SC20,2023/12/11,216
SC20,2023/12/12,222
SC20,2023/12/13,222
SC20,2023/12/14,217
SC20,2023/12/15,220
SC20,2023/12/16,218
SC20,2023/12/17,220
SC20,2023/12/18,219
SC20,2023/12/19,219
SC20,2023/12/20,219
SC20,2023/12/21,219
SC20,2023/12/22,219
SC20,2023/12/23,219
SC20,2023/12/24,219
SC20,2023/12/25,219
SC20,2023/12/26,219
SC20,2023/12/27,219
SC20,2023/12/28,219
SC20,2023/12/29,219
SC20,2023/12/30,219
SC39,2023/12/01,2288
SC39,2023/12/02,2519
SC39,2023/12/03,2491
SC39,2023/12/04,2524
SC39,2023/12/05,2550
SC39,2023/12/06,2560
SC39,2023/12/07,2585
SC39,2023/12/08,2593
SC39,2023/12/09,2612
SC39,2023/12/10,2618
SC39,2023/12/11,2633
SC39,2023/12/12,2638
SC39,2023/12/13,2649
SC39,2023/12/14,2653
SC39,2023/12/15,2662
SC39,2023/12/16,2665
SC39,2023/12/17,2672
SC39,2023/12/18,2675
SC39,2023/12/19,2679
SC39,2023/12/20,2682
SC39,2023/12/21,2686
SC39,2023/12/22,2687
SC39,2023/12/23,2690
SC39,2023/12/24,2692
SC39,2023/12/25,2694
SC39,2023/12/26,2695
SC39,2023/12/27,2697
SC39,2023/12/28,2698
SC39,2023/12/29,2699
SC39,2023/12/30,2700
SC47,2023/12/01,42196
SC47,2023/12/02,42690
SC47,2023/12/03,42917
SC47,2023/12/04,43009
SC47,2023/12/05,43043
SC47,2023/12/06,43055
SC47,2023/12/07,43058
SC47,2023/12/08,43059
SC47,2023/12/09,43060
SC47,2023/12/10,43060
SC47,2023/12/11,43060
SC47,2023/12/12,43060
SC47,2023/12/13,43060
SC47,2023/12/14,43060
SC47,2023/12/15,43060
SC47,2023/12/16,43060
SC47,2023/12/17,43060
SC47,2023/12/18,43060
SC47,2023/12/19,43060
SC47,2023/12/20,43060
SC47,2023/12/21,43060
SC47,2023/12/22,43060
SC47,2023/12/23,43060
SC47,2023/12/24,43060
SC47,2023/12/25,43060
SC47,2023/12/26,43060
SC47,2023/12/27,43060
SC47,2023/12/28,43060
SC47,2023/12/29,43060
SC47,2023/12/30,43060
SC8,2023/12/01,37695
SC8,2023/12/02,37847
SC8,2023/12/03,37891
SC8,2023/12/04,37903
SC8,2023/12/05,37907
SC8,2023/12/06,37908
SC8,2023/12/07,37908
SC8,2023/12/08,37908
SC8,2023/12/09,37908
SC8,2023/12/10,37908
SC8,2023/12/11,37908
SC8,2023/12/12,37908
SC8,2023/12/13,37908
SC8,2023/12/14,37908
SC8,2023/12/15,37908
SC8,2023/12/16,37908
SC8,2023/12/17,37908
SC8,2023/12/18,37908
SC8,2023/12/19,37908
SC8,2023/12/20,37908
SC8,2023/12/21,37908
SC8,2023/12/22,37908
SC8,2023/12/23,37908
SC8,2023/12/24,37908
SC8,2023/12/25,37908
SC8,2023/12/26,37908
SC8,2023/12/27,37908
SC8,2023/12/28,37908
SC8,2023/12/29,37908
SC8,2023/12/30,37908
SC43,2023/12/01,3894
SC43,2023/12/02,4105
SC43,2023/12/03,4187
SC43,2023/12/04,4219
SC43,2023/12/05,4231
SC43,2023/12/06,4236
SC43,2023/12/07,4238
SC43,2023/12/08,4238
SC43,2023/12/09,4239
SC43,2023/12/10,4239
SC43,2023/12/11,4239
SC43,2023/12/12,4239
SC43,2023/12/13,4239
SC43,2023/12/14,4239
SC43,2023/12/15,4239
SC43,2023/12/16,4239
SC43,2023/12/17,4239
SC43,2023/12/18,4239
SC43,2023/12/19,4239
SC43,2023/12/20,4239
SC43,2023/12/21,4239
SC43,2023/12/22,4239
SC43,2023/12/23,4239
SC43,2023/12/24,4239
SC43,2023/12/25,4239
SC43,2023/12/26,4239
SC43,2023/12/27,4239
SC43,2023/12/28,4239
SC43,2023/12/29,4239
SC43,2023/12/30,4239
SC52,2023/12/01,4314
SC52,2023/12/02,4406
SC52,2023/12/03,4398
SC52,2023/12/04,4398
SC52,2023/12/05,4398
SC52,2023/12/06,4398
SC52,2023/12/07,4398
SC52,2023/12/08,4398
SC52,2023/12/09,4398
SC52,2023/12/10,4398
SC52,2023/12/11,4398
SC52,2023/12/12,4398
SC52,2023/12/13,4398
SC52,2023/12/14,4398
SC52,2023/12/15,4398
SC52,2023/12/16,4398
SC52,2023/12/17,4398
SC52,2023/12/18,4398
SC52,2023/12/19,4398
SC52,2023/12/20,4398
SC52,2023/12/21,4398
SC52,2023/12/22,4398
SC52,2023/12/23,4398
SC52,2023/12/24,4398
SC52,2023/12/25,4398
SC52,2023/12/26,4398
SC52,2023/12/27,4398
SC52,2023/12/28,4398
SC52,2023/12/29,4398
SC52,2023/12/30,4398
SC31,2023/12/01,11001
SC31,2023/12/02,11001
SC31,2023/12/03,11001
SC31,2023/12/04,11001
SC31,2023/12/05,11001
SC31,2023/12/06,11001
SC31,2023/12/07,11001
SC31,2023/12/08,11001
SC31,2023/12/09,11001
SC31,2023/12/10,11001
SC31,2023/12/11,11001
SC31,2023/12/12,11001
SC31,2023/12/13,11001
SC31,2023/12/14,11001
SC31,2023/12/15,11001
SC31,2023/12/16,11001
SC31,2023/12/17,11001
SC31,2023/12/18,11001
SC31,2023/12/19,11001
SC31,2023/12/20,11001
SC31,2023/12/21,11001
SC31,2023/12/22,11001
SC31,2023/12/23,11001
SC31,2023/12/24,11001
SC31,2023/12/25,11001
SC31,2023/12/26,11001
SC31,2023/12/27,11001
SC31,2023/12/28,11001
SC31,2023/12/29,11001
SC31,2023/12/30,11001
SC21,2023/12/01,2479
SC21,2023/12/02,2479
SC21,2023/12/03,2479
SC21,2023/12/04,2479
SC21,2023/12/05,2479
SC21,2023/12/06,2479
SC21,2023/12/07,2479
SC21,2023/12/08,2479
SC21,2023/12/09,2479
SC21,2023/12/10,2479
SC21,2023/12/11,2479
SC21,2023/12/12,2479
SC21,2023/12/13,2479
SC21,2023/12/14,2479
SC21,2023/12/15,2479
SC21,2023/12/16,2479
SC21,2023/12/17,2479
SC21,2023/12/18,2479
SC21,2023/12/19,2479
SC21,2023/12/20,2479
SC21,2023/12/21,2479
SC21,2023/12/22,2479
SC21,2023/12/23,2479
SC21,2023/12/24,2479
SC21,2023/12/25,2479
SC21,2023/12/26,2479
SC21,2023/12/27,2479
SC21,2023/12/28,2479
SC21,2023/12/29,2479
SC21,2023/12/30,2479
SC49,2023/12/01,6439
SC49,2023/12/02,6439
SC49,2023/12/03,6439
SC49,2023/12/04,6439
SC49,2023/12/05,6439
SC49,2023/12/06,6439
SC49,2023/12/07,6439
SC49,2023/12/08,6439
SC49,2023/12/09,6439
SC49,2023/12/10,6439
SC49,2023/12/11,6439
SC49,2023/12/12,6439
SC49,2023/12/13,6439
SC49,2023/12/14,6439
SC49,2023/12/15,6439
SC49,2023/12/16,6439
SC49,2023/12/17,6439
SC49,2023/12/18,6439
SC49,2023/12/19,6439
SC49,2023/12/20,6439
SC49,2023/12/21,6439
SC49,2023/12/22,6439
SC49,2023/12/23,6439
SC49,2023/12/24,6439
SC49,2023/12/25,6439
SC49,2023/12/26,6439
SC49,2023/12/27,6439
SC49,2023/12/28,6439
SC49,2023/12/29,6439
SC49,2023/12/30,6439
SC37,2023/12/01,1061
SC37,2023/12/02,1081
SC37,2023/12/03,1136
SC37,2023/12/04,1112
SC37,2023/12/05,1055
SC37,2023/12/06,1114
SC37,2023/12/07,786
SC37,2023/12/08,1045
SC37,2023/12/09,1020
SC37,2023/12/10,885
SC37,2023/12/11,998
SC37,2023/12/12,1005
SC37,2023/12/13,1039
SC37,2023/12/14,1040
SC37,2023/12/15,1040
SC37,2023/12/16,1040
SC37,2023/12/17,1040
SC37,2023/12/18,1040
SC37,2023/12/19,1040
SC37,2023/12/20,1040
SC37,2023/12/21,1040
SC37,2023/12/22,1040
SC37,2023/12/23,1040
SC37,2023/12/24,1040
SC37,2023/12/25,1040
SC37,2023/12/26,1040
SC37,2023/12/27,1040
SC37,2023/12/28,1040
SC37,2023/12/29,1040
SC37,2023/12/30,1040
SC29,2023/12/01,6578
SC29,2023/12/02,7729
SC29,2023/12/03,6848
SC29,2023/12/04,7631
SC29,2023/12/05,6978
SC29,2023/12/06,7599
SC29,2023/12/07,7074
SC29,2023/12/08,7587
SC29,2023/12/09,7157
SC29,2023/12/10,7585
SC29,2023/12/11,7231
SC29,2023/12/12,7590
SC29,2023/12/13,7299
SC29,2023/12/14,7600
SC29,2023/12/15,7363
SC29,2023/12/16,7616
SC29,2023/12/17,7421
SC29,2023/12/18,7635
SC29,2023/12/19,7477
SC29,2023/12/20,7657
SC29,2023/12/21,7529
SC29,2023/12/22,7682
SC29,2023/12/23,7579
SC29,2023/12/24,7709
SC29,2023/12/25,7627
SC29,2023/12/26,7738
SC29,2023/12/27,7673
SC29,2023/12/28,7769
SC29,2023/12/29,7718
SC29,2023/12/30,7801
SC5,2023/12/01,20322
SC5,2023/12/02,20322
SC5,2023/12/03,20322
SC5,2023/12/04,20322
SC5,2023/12/05,20322
SC5,2023/12/06,20322
SC5,2023/12/07,20322
SC5,2023/12/08,20322
SC5,2023/12/09,20322
SC5,2023/12/10,20322
SC5,2023/12/11,20322
SC5,2023/12/12,20322
SC5,2023/12/13,20322
SC5,2023/12/14,20322
SC5,2023/12/15,20322
SC5,2023/12/16,20322
SC5,2023/12/17,20322
SC5,2023/12/18,20322
SC5,2023/12/19,20322
SC5,2023/12/20,20322
SC5,2023/12/21,20322
SC5,2023/12/22,20322
SC5,2023/12/23,20322
SC5,2023/12/24,20322
SC5,2023/12/25,20322
SC5,2023/12/26,20322
SC5,2023/12/27,20322
SC5,2023/12/28,20322
SC5,2023/12/29,20322
SC5,2023/12/30,20322
SC23,2023/12/01,4168
SC23,2023/12/02,4168
SC23,2023/12/03,4168
SC23,2023/12/04,4168
SC23,2023/12/05,4168
SC23,2023/12/06,4168
SC23,2023/12/07,4168
SC23,2023/12/08,4168
SC23,2023/12/09,4168
SC23,2023/12/10,4168
SC23,2023/12/11,4168
SC23,2023/12/12,4168
SC23,2023/12/13,4168
SC23,2023/12/14,4168
SC23,2023/12/15,4168
SC23,2023/12/16,4168
SC23,2023/12/17,4168
SC23,2023/12/18,4168
SC23,2023/12/19,4168
SC23,2023/12/20,4168
SC23,2023/12/21,4168
SC23,2023/12/22,4168
SC23,2023/12/23,4168
SC23,2023/12/24,4168
SC23,2023/12/25,4168
SC23,2023/12/26,4168
SC23,2023/12/27,4168
SC23,2023/12/28,4168
SC23,2023/12/29,4168
SC23,2023/12/30,4168
SC16,2023/12/01,2376
SC16,2023/12/02,2298
SC16,2023/12/03,2351
SC16,2023/12/04,2348
SC16,2023/12/05,2201
SC16,2023/12/06,2343
SC16,2023/12/07,2344
SC16,2023/12/08,2334
SC16,2023/12/09,2432
SC16,2023/12/10,2426
SC16,2023/12/11,2419
SC16,2023/12/12,2468
SC16,2023/12/13,2471
SC16,2023/12/14,2455
SC16,2023/12/15,2453
SC16,2023/12/16,2459
SC16,2023/12/17,2459
SC16,2023/12/18,2457
SC16,2023/12/19,2457
SC16,2023/12/20,2458
SC16,2023/12/21,2458
SC16,2023/12/22,2458
SC16,2023/12/23,2458
SC16,2023/12/24,2458
SC16,2023/12/25,2458
SC16,2023/12/26,2458
SC16,2023/12/27,2458
SC16,2023/12/28,2458
SC16,2023/12/29,2458
SC16,2023/12/30,2458
SC36,2023/12/01,849
SC36,2023/12/02,857
SC36,2023/12/03,830
SC36,2023/12/04,809
SC36,2023/12/05,772
SC36,2023/12/06,822
SC36,2023/12/07,866
SC36,2023/12/08,850
SC36,2023/12/09,829
SC36,2023/12/10,823
SC36,2023/12/11,805
SC36,2023/12/12,805
SC36,2023/12/13,808
SC36,2023/12/14,809
SC36,2023/12/15,810
SC36,2023/12/16,810
SC36,2023/12/17,810
SC36,2023/12/18,810
SC36,2023/12/19,811
SC36,2023/12/20,811
SC36,2023/12/21,811
SC36,2023/12/22,811
SC36,2023/12/23,811
SC36,2023/12/24,811
SC36,2023/12/25,811
SC36,2023/12/26,811
SC36,2023/12/27,811
SC36,2023/12/28,811
SC36,2023/12/29,811
SC36,2023/12/30,811
SC57,2023/12/01,8125
SC57,2023/12/02,8203
SC57,2023/12/03,8240
SC57,2023/12/04,8257
SC57,2023/12/05,8266
SC57,2023/12/06,8270
SC57,2023/12/07,8272
SC57,2023/12/08,8273
SC57,2023/12/09,8273
SC57,2023/12/10,8273
SC57,2023/12/11,8273
SC57,2023/12/12,8273
SC57,2023/12/13,8273
SC57,2023/12/14,8273
SC57,2023/12/15,8273
SC57,2023/12/16,8273
SC57,2023/12/17,8273
SC57,2023/12/18,8273
SC57,2023/12/19,8273
SC57,2023/12/20,8273
SC57,2023/12/21,8273
SC57,2023/12/22,8273
SC57,2023/12/23,8273
SC57,2023/12/24,8273
SC57,2023/12/25,8273
SC57,2023/12/26,8273
SC57,2023/12/27,8273
SC57,2023/12/28,8273
SC57,2023/12/29,8273
SC57,2023/12/30,8273
SC2,2023/12/01,8892
SC2,2023/12/02,8712
SC2,2023/12/03,8712
SC2,2023/12/04,8712
SC2,2023/12/05,8712
SC2,2023/12/06,8712
SC2,2023/12/07,8712
SC2,2023/12/08,8712
SC2,2023/12/09,8712
SC2,2023/12/10,8712
SC2,2023/12/11,8712
SC2,2023/12/12,8712
SC2,2023/12/13,8712
SC2,2023/12/14,8712
SC2,2023/12/15,8712
SC2,2023/12/16,8712
SC2,2023/12/17,8712
SC2,2023/12/18,8712
SC2,2023/12/19,8712
SC2,2023/12/20,8712
SC2,2023/12/21,8712
SC2,2023/12/22,8712
SC2,2023/12/23,8712
SC2,2023/12/24,8712
SC2,2023/12/25,8712
SC2,2023/12/26,8712
SC2,2023/12/27,8712
SC2,2023/12/28,8712
SC2,2023/12/29,8712
SC2,2023/12/30,8712
SC12,2023/12/01,4878
SC12,2023/12/02,5141
SC12,2023/12/03,5208
SC12,2023/12/04,5208
SC12,2023/12/05,5208
SC12,2023/12/06,5208
SC12,2023/12/07,5208
SC12,2023/12/08,5208
SC12,2023/12/09,5208
SC12,2023/12/10,5208
SC12,2023/12/11,5208
SC12,2023/12/12,5208
SC12,2023/12/13,5208
SC12,2023/12/14,5208
SC12,2023/12/15,5208
SC12,2023/12/16,5208
SC12,2023/12/17,5208
SC12,2023/12/18,5208
SC12,2023/12/19,5208
SC12,2023/12/20,5208
SC12,2023/12/21,5208
SC12,2023/12/22,5208
SC12,2023/12/23,5208
SC12,2023/12/24,5208
SC12,2023/12/25,5208
SC12,2023/12/26,5208
SC12,2023/12/27,5208
SC12,2023/12/28,5208
SC12,2023/12/29,5208
SC12,2023/12/30,5208
SC18,2023/12/01,7374
SC18,2023/12/02,7413
SC18,2023/12/03,7438
SC18,2023/12/04,7452
SC18,2023/12/05,7462
SC18,2023/12/06,7467
SC18,2023/12/07,7471
SC18,2023/12/08,7473
SC18,2023/12/09,7474
SC18,2023/12/10,7475
SC18,2023/12/11,7475
SC18,2023/12/12,7476
SC18,2023/12/13,7476
SC18,2023/12/14,7476
SC18,2023/12/15,7476
SC18,2023/12/16,7476
SC18,2023/12/17,7476
SC18,2023/12/18,7476
SC18,2023/12/19,7476
SC18,2023/12/20,7476
SC18,2023/12/21,7476
SC18,2023/12/22,7476
SC18,2023/12/23,7476
SC18,2023/12/24,7476
SC18,2023/12/25,7476
SC18,2023/12/26,7476
SC18,2023/12/27,7476
SC18,2023/12/28,7476
SC18,2023/12/29,7476
SC18,2023/12/30,7476
SC19,2023/12/01,9315
SC19,2023/12/02,9159
SC19,2023/12/03,9411
SC19,2023/12/04,9717
SC19,2023/12/05,9411
SC19,2023/12/06,9750
SC19,2023/12/07,9940
SC19,2023/12/08,10426
SC19,2023/12/09,10105
SC19,2023/12/10,10050
SC19,2023/12/11,10217
SC19,2023/12/12,10110
SC19,2023/12/13,10033
SC19,2023/12/14,9981
SC19,2023/12/15,9945
SC19,2023/12/16,9921
SC19,2023/12/17,9905
SC19,2023/12/18,9894
SC19,2023/12/19,9886
SC19,2023/12/20,9881
SC19,2023/12/21,9878
SC19,2023/12/22,9875
SC19,2023/12/23,9874
SC19,2023/12/24,9873
SC19,2023/12/25,9872
SC19,2023/12/26,9871
SC19,2023/12/27,9871
SC19,2023/12/28,9871
SC19,2023/12/29,9871
SC19,2023/12/30,9870
SC58,2023/12/01,1075
SC58,2023/12/02,1085
SC58,2023/12/03,1090
SC58,2023/12/04,1094
SC58,2023/12/05,1095
SC58,2023/12/06,1097
SC58,2023/12/07,1097
SC58,2023/12/08,1098
SC58,2023/12/09,1098
SC58,2023/12/10,1098
SC58,2023/12/11,1098
SC58,2023/12/12,1098
SC58,2023/12/13,1098
SC58,2023/12/14,1098
SC58,2023/12/15,1098
SC58,2023/12/16,1098
SC58,2023/12/17,1098
SC58,2023/12/18,1098
SC58,2023/12/19,1098
SC58,2023/12/20,1098
SC58,2023/12/21,1098
SC58,2023/12/22,1098
SC58,2023/12/23,1098
SC58,2023/12/24,1098
SC58,2023/12/25,1098
SC58,2023/12/26,1098
SC58,2023/12/27,1098
SC58,2023/12/28,1098
SC58,2023/12/29,1098
SC58,2023/12/30,1098
SC27,2023/12/01,4438
SC27,2023/12/02,4583
SC27,2023/12/03,4670
SC27,2023/12/04,4723
SC27,2023/12/05,4755
SC27,2023/12/06,4774
SC27,2023/12/07,4786
SC27,2023/12/08,4793
SC27,2023/12/09,4797
SC27,2023/12/10,4800
SC27,2023/12/11,4801
SC27,2023/12/12,4802
SC27,2023/12/13,4803
SC27,2023/12/14,4803
SC27,2023/12/15,4803
SC27,2023/12/16,4803
SC27,2023/12/17,4803
SC27,2023/12/18,4803
SC27,2023/12/19,4803
SC27,2023/12/20,4803
SC27,2023/12/21,4803
SC27,2023/12/22,4803
SC27,2023/12/23,4803
SC27,2023/12/24,4803
SC27,2023/12/25,4803
SC27,2023/12/26,4803
SC27,2023/12/27,4803
SC27,2023/12/28,4803
SC27,2023/12/29,4803
SC27,2023/12/30,4803
SC1,2023/12/01,43911
SC1,2023/12/02,44419
SC1,2023/12/03,43066
SC1,2023/12/04,44491
SC1,2023/12/05,43173
SC1,2023/12/06,44354
SC1,2023/12/07,43305
SC1,2023/12/08,44234
SC1,2023/12/09,43412
SC1,2023/12/10,44139
SC1,2023/12/11,43496
SC1,2023/12/12,44065
SC1,2023/12/13,43561
SC1,2023/12/14,44007
SC1,2023/12/15,43612
SC1,2023/12/16,43962
SC1,2023/12/17,43653
