分拣中心,日期,小时,货量
SC54,2023/12/15,12,482.0
SC54,2023/12/15,13,680.0
SC54,2023/12/15,14,453.0
SC54,2023/12/15,15,617.0
SC54,2023/12/15,16,993.0
SC54,2023/12/15,17,512.0
SC54,2023/12/15,18,798.0
SC54,2023/12/15,19,786.0
SC54,2023/12/15,20,778.0
SC54,2023/12/15,21,812.0
SC54,2023/12/15,22,838.0
SC54,2023/12/15,23,843.0
SC54,2023/12/16,0,465.0
SC54,2023/12/16,1,437.0
SC54,2023/12/16,2,434.0
SC54,2023/12/16,3,426.0
SC54,2023/12/16,4,424.0
SC54,2023/12/16,5,416.0
SC54,2023/12/16,6,414.0
SC54,2023/12/16,7,443.0
SC54,2023/12/16,8,471.0
SC54,2023/12/16,9,682.0
SC54,2023/12/16,10,740.0
SC54,2023/12/16,11,747.0
SC54,2023/12/16,12,482.0
SC54,2023/12/16,13,676.0
SC54,2023/12/16,14,453.0
SC54,2023/12/16,15,614.0
SC54,2023/12/16,16,983.0
SC54,2023/12/16,17,511.0
SC54,2023/12/16,18,791.0
SC54,2023/12/16,19,779.0
SC54,2023/12/16,20,771.0
SC54,2023/12/16,21,805.0
SC54,2023/12/16,22,831.0
SC54,2023/12/16,23,835.0
SC54,2023/12/17,0,464.0
SC54,2023/12/17,1,436.0
SC54,2023/12/17,2,433.0
SC54,2023/12/17,3,426.0
SC54,2023/12/17,4,424.0
SC54,2023/12/17,5,416.0
SC54,2023/12/17,6,414.0
SC54,2023/12/17,7,442.0
SC54,2023/12/17,8,469.0
SC54,2023/12/17,9,676.0
SC54,2023/12/17,10,733.0
SC54,2023/12/17,11,740.0
SC54,2023/12/17,12,480.0
SC54,2023/12/17,13,670.0
SC54,2023/12/17,14,452.0
SC54,2023/12/17,15,610.0
SC54,2023/12/17,16,972.0
SC54,2023/12/17,17,508.0
SC54,2023/12/17,18,783.0
SC54,2023/12/17,19,771.0
SC54,2023/12/17,20,763.0
SC54,2023/12/17,21,796.0
SC54,2023/12/17,22,822.0
SC54,2023/12/17,23,826.0
SC54,2023/12/18,0,462.0
SC54,2023/12/18,1,434.0
SC54,2023/12/18,2,431.0
SC54,2023/12/18,3,424.0
SC54,2023/12/18,4,422.0
SC54,2023/12/18,5,414.0
SC54,2023/12/18,6,412.0
SC54,2023/12/18,7,440.0
SC54,2023/12/18,8,466.0
SC54,2023/12/18,9,669.0
SC54,2023/12/18,10,725.0
SC54,2023/12/18,11,732.0
SC54,2023/12/18,12,477.0
SC54,2023/12/18,13,663.0
SC54,2023/12/18,14,448.0
SC54,2023/12/18,15,603.0
SC54,2023/12/18,16,959.0
SC54,2023/12/18,17,503.0
SC54,2023/12/18,18,774.0
SC54,2023/12/18,19,762.0
SC54,2023/12/18,20,754.0
SC54,2023/12/18,21,786.0
SC54,2023/12/18,22,811.0
SC54,2023/12/18,23,815.0
SC54,2023/12/19,0,458.0
SC54,2023/12/19,1,430.0
SC54,2023/12/19,2,427.0
SC54,2023/12/19,3,420.0
SC54,2023/12/19,4,418.0
SC54,2023/12/19,5,410.0
SC54,2023/12/19,6,408.0
SC54,2023/12/19,7,435.0
SC54,2023/12/19,8,461.0
SC54,2023/12/19,9,660.0
SC54,2023/12/19,10,715.0
SC54,2023/12/19,11,722.0
SC54,2023/12/19,12,471.0
SC54,2023/12/19,13,654.0
SC54,2023/12/19,14,443.0
SC54,2023/12/19,15,595.0
SC54,2023/12/19,16,944.0
SC54,2023/12/19,17,497.0
SC54,2023/12/19,18,762.0
SC54,2023/12/19,19,751.0
SC54,2023/12/19,20,743.0
SC54,2023/12/19,21,774.0
SC54,2023/12/19,22,798.0
SC54,2023/12/19,23,803.0
SC54,2023/12/20,0,452.0
SC54,2023/12/20,1,425.0
SC54,2023/12/20,2,422.0
SC54,2023/12/20,3,415.0
SC54,2023/12/20,4,413.0
SC54,2023/12/20,5,405.0
SC54,2023/12/20,6,403.0
SC54,2023/12/20,7,429.0
SC54,2023/12/20,8,454.0
SC54,2023/12/20,9,650.0
SC54,2023/12/20,10,704.0
SC54,2023/12/20,11,710.0
SC54,2023/12/20,12,464.0
SC54,2023/12/20,13,644.0
SC54,2023/12/20,14,437.0
SC54,2023/12/20,15,586.0
SC54,2023/12/20,16,928.0
SC54,2023/12/20,17,489.0
SC54,2023/12/20,18,749.0
SC54,2023/12/20,19,738.0
SC54,2023/12/20,20,730.0
SC54,2023/12/20,21,761.0
SC54,2023/12/20,22,784.0
SC54,2023/12/20,23,788.0
SC54,2023/12/21,0,444.0
SC54,2023/12/21,1,418.0
SC54,2023/12/21,2,415.0
SC54,2023/12/21,3,408.0
SC54,2023/12/21,4,405.0
SC54,2023/12/21,5,398.0
SC54,2023/12/21,6,395.0
SC54,2023/12/21,7,421.0
SC54,2023/12/21,8,446.0
SC54,2023/12/21,9,638.0
SC54,2023/12/21,10,691.0
SC54,2023/12/21,11,697.0
SC54,2023/12/21,12,455.0
SC54,2023/12/21,13,631.0
SC54,2023/12/21,14,428.0
SC54,2023/12/21,15,575.0
SC54,2023/12/21,16,910.0
SC54,2023/12/21,17,479.0
SC54,2023/12/21,18,735.0
SC54,2023/12/21,19,723.0
SC54,2023/12/21,20,716.0
SC54,2023/12/21,21,746.0
SC54,2023/12/21,22,769.0
SC54,2023/12/21,23,773.0
SC54,2023/12/22,0,435.0
SC54,2023/12/22,1,409.0
SC54,2023/12/22,2,406.0
SC54,2023/12/22,3,399.0
SC54,2023/12/22,4,397.0
SC54,2023/12/22,5,389.0
SC54,2023/12/22,6,386.0
SC54,2023/12/22,7,412.0
SC54,2023/12/22,8,436.0
SC54,2023/12/22,9,624.0
SC54,2023/12/22,10,676.0
SC54,2023/12/22,11,682.0
SC54,2023/12/22,12,445.0
SC54,2023/12/22,13,618.0
SC54,2023/12/22,14,418.0
SC54,2023/12/22,15,562.0
SC54,2023/12/22,16,891.0
SC54,2023/12/22,17,468.0
SC54,2023/12/22,18,719.0
SC54,2023/12/22,19,708.0
SC54,2023/12/22,20,700.0
SC54,2023/12/22,21,729.0
SC54,2023/12/22,22,752.0
SC54,2023/12/22,23,756.0
SC54,2023/12/23,0,424.0
SC54,2023/12/23,1,398.0
SC54,2023/12/23,2,395.0
SC54,2023/12/23,3,388.0
SC54,2023/12/23,4,386.0
SC54,2023/12/23,5,379.0
SC54,2023/12/23,6,376.0
SC54,2023/12/23,7,401.0
SC54,2023/12/23,8,425.0
SC54,2023/12/23,9,609.0
SC54,2023/12/23,10,660.0
SC54,2023/12/23,11,666.0
SC54,2023/12/23,12,433.0
SC54,2023/12/23,13,602.0
SC54,2023/12/23,14,407.0
SC54,2023/12/23,15,547.0
SC54,2023/12/23,16,871.0
SC54,2023/12/23,17,455.0
SC54,2023/12/23,18,701.0
SC54,2023/12/23,19,690.0
SC54,2023/12/23,20,683.0
SC54,2023/12/23,21,711.0
SC54,2023/12/23,22,734.0
SC54,2023/12/23,23,737.0
SC54,2023/12/24,0,411.0
SC54,2023/12/24,1,386.0
SC54,2023/12/24,2,383.0
SC54,2023/12/24,3,376.0
SC54,2023/12/24,4,374.0
SC54,2023/12/24,5,367.0
SC54,2023/12/24,6,364.0
SC54,2023/12/24,7,388.0
SC54,2023/12/24,8,412.0
SC54,2023/12/24,9,593.0
SC54,2023/12/24,10,642.0
SC54,2023/12/24,11,648.0
SC54,2023/12/24,12,419.0
SC54,2023/12/24,13,586.0
SC54,2023/12/24,14,393.0
SC54,2023/12/24,15,531.0
SC54,2023/12/24,16,849.0
SC54,2023/12/24,17,441.0
SC54,2023/12/24,18,682.0
SC54,2023/12/24,19,671.0
SC54,2023/12/24,20,664.0
SC54,2023/12/24,21,692.0
SC54,2023/12/24,22,714.0
SC54,2023/12/24,23,717.0
SC54,2023/12/25,0,397.0
SC54,2023/12/25,1,373.0
SC54,2023/12/25,2,369.0
SC54,2023/12/25,3,363.0
SC54,2023/12/25,4,360.0
SC54,2023/12/25,5,353.0
SC54,2023/12/25,6,350.0
SC54,2023/12/25,7,374.0
SC54,2023/12/25,8,397.0
SC54,2023/12/25,9,575.0
SC54,2023/12/25,10,623.0
SC54,2023/12/25,11,629.0
SC54,2023/12/25,12,404.0
SC54,2023/12/25,13,567.0
SC54,2023/12/25,14,379.0
SC54,2023/12/25,15,514.0
SC54,2023/12/25,16,825.0
SC54,2023/12/25,17,425.0
SC54,2023/12/25,18,662.0
SC54,2023/12/25,19,651.0
SC54,2023/12/25,20,644.0
SC54,2023/12/25,21,671.0
SC54,2023/12/25,22,692.0
SC54,2023/12/25,23,696.0
SC54,2023/12/26,0,382.0
SC54,2023/12/26,1,357.0
SC54,2023/12/26,2,354.0
SC54,2023/12/26,3,347.0
SC54,2023/12/26,4,345.0
SC54,2023/12/26,5,338.0
SC54,2023/12/26,6,335.0
SC54,2023/12/26,7,359.0
SC54,2023/12/26,8,381.0
SC54,2023/12/26,9,555.0
SC54,2023/12/26,10,603.0
SC54,2023/12/26,11,608.0
SC54,2023/12/26,12,388.0
SC54,2023/12/26,13,548.0
SC54,2023/12/26,14,362.0
SC54,2023/12/26,15,495.0
SC54,2023/12/26,16,801.0
SC54,2023/12/26,17,408.0
SC54,2023/12/26,18,640.0
SC54,2023/12/26,19,629.0
SC54,2023/12/26,20,622.0
SC54,2023/12/26,21,649.0
SC54,2023/12/26,22,670.0
SC54,2023/12/26,23,673.0
SC54,2023/12/27,0,365.0
SC54,2023/12/27,1,341.0
SC54,2023/12/27,2,338.0
SC54,2023/12/27,3,331.0
SC54,2023/12/27,4,328.0
SC54,2023/12/27,5,321.0
SC54,2023/12/27,6,319.0
SC54,2023/12/27,7,341.0
SC54,2023/12/27,8,363.0
SC54,2023/12/27,9,534.0
SC54,2023/12/27,10,581.0
SC54,2023/12/27,11,586.0
SC54,2023/12/27,12,370.0
SC54,2023/12/27,13,527.0
SC54,2023/12/27,14,345.0
SC54,2023/12/27,15,475.0
SC54,2023/12/27,16,775.0
SC54,2023/12/27,17,389.0
SC54,2023/12/27,18,617.0
SC54,2023/12/27,19,606.0
SC54,2023/12/27,20,599.0
SC54,2023/12/27,21,625.0
SC54,2023/12/27,22,646.0
SC54,2023/12/27,23,649.0
SC54,2023/12/28,0,346.0
SC54,2023/12/28,1,322.0
SC54,2023/12/28,2,319.0
SC54,2023/12/28,3,313.0
SC54,2023/12/28,4,310.0
SC54,2023/12/28,5,303.0
SC54,2023/12/28,6,300.0
SC54,2023/12/28,7,323.0
SC54,2023/12/28,8,344.0
SC54,2023/12/28,9,512.0
SC54,2023/12/28,10,558.0
SC54,2023/12/28,11,562.0
SC54,2023/12/28,12,350.0
SC54,2023/12/28,13,504.0
SC54,2023/12/28,14,325.0
SC54,2023/12/28,15,453.0
SC54,2023/12/28,16,747.0
SC54,2023/12/28,17,369.0
SC54,2023/12/28,18,592.0
SC54,2023/12/28,19,582.0
SC54,2023/12/28,20,575.0
SC54,2023/12/28,21,601.0
SC54,2023/12/28,22,620.0
SC54,2023/12/28,23,623.0
SC54,2023/12/29,0,326.0
SC54,2023/12/29,1,303.0
SC54,2023/12/29,2,300.0
SC54,2023/12/29,3,293.0
SC54,2023/12/29,4,291.0
SC54,2023/12/29,5,284.0
SC54,2023/12/29,6,281.0
SC54,2023/12/29,7,303.0
SC54,2023/12/29,8,324.0
SC54,2023/12/29,9,488.0
SC54,2023/12/29,10,533.0
SC54,2023/12/29,11,538.0
SC54,2023/12/29,12,329.0
SC54,2023/12/29,13,480.0
SC54,2023/12/29,14,305.0
SC54,2023/12/29,15,430.0
SC54,2023/12/29,16,719.0
SC54,2023/12/29,17,347.0
SC54,2023/12/29,18,566.0
SC54,2023/12/29,19,556.0
SC54,2023/12/29,20,549.0
SC54,2023/12/29,21,574.0
SC54,2023/12/29,22,594.0
SC54,2023/12/29,23,596.0
SC54,2023/12/30,0,305.0
SC54,2023/12/30,1,282.0
SC54,2023/12/30,2,279.0
SC54,2023/12/30,3,272.0
SC54,2023/12/30,4,270.0
SC54,2023/12/30,5,263.0
SC54,2023/12/30,6,260.0
SC54,2023/12/30,7,281.0
SC54,2023/12/30,8,302.0
SC54,2023/12/30,9,463.0
SC54,2023/12/30,10,507.0
SC54,2023/12/30,11,511.0
SC54,2023/12/30,12,307.0
SC54,2023/12/30,13,455.0
SC54,2023/12/30,14,283.0
SC54,2023/12/30,15,406.0
SC54,2023/12/30,16,689.0
SC54,2023/12/30,17,324.0
SC54,2023/12/30,18,539.0
SC54,2023/12/30,19,529.0
SC54,2023/12/30,20,522.0
SC54,2023/12/30,21,547.0
SC54,2023/12/30,22,566.0
SC54,2023/12/30,23,568.0
SC32,2023/12/01,0,165.0
SC32,2023/12/01,1,175.0
SC32,2023/12/01,2,179.0
SC32,2023/12/01,3,181.0
SC32,2023/12/01,4,181.0
SC32,2023/12/01,5,181.0
SC32,2023/12/01,6,182.0
SC32,2023/12/01,7,182.0
SC32,2023/12/01,8,182.0
SC32,2023/12/01,9,182.0
SC32,2023/12/01,10,182.0
SC32,2023/12/01,11,182.0
SC32,2023/12/01,12,182.0
SC32,2023/12/01,13,182.0
SC32,2023/12/01,14,182.0
SC32,2023/12/01,15,182.0
SC32,2023/12/01,16,182.0
SC32,2023/12/01,17,182.0
SC32,2023/12/01,18,182.0
SC32,2023/12/01,19,182.0
SC32,2023/12/01,20,182.0
SC32,2023/12/01,21,182.0
SC32,2023/12/01,22,182.0
SC32,2023/12/01,23,182.0
SC32,2023/12/02,0,182.0
SC32,2023/12/02,1,182.0
SC32,2023/12/02,2,182.0
SC32,2023/12/02,3,182.0
SC32,2023/12/02,4,182.0
SC32,2023/12/02,5,182.0
SC32,2023/12/02,6,182.0
SC32,2023/12/02,7,182.0
SC32,2023/12/02,8,182.0
SC32,2023/12/02,9,182.0
SC32,2023/12/02,10,182.0
SC32,2023/12/02,11,182.0
SC32,2023/12/02,12,182.0
SC32,2023/12/02,13,182.0
SC32,2023/12/02,14,182.0
SC32,2023/12/02,15,182.0
SC32,2023/12/02,16,182.0
SC32,2023/12/02,17,182.0
SC32,2023/12/02,18,182.0
SC32,2023/12/02,19,182.0
SC32,2023/12/02,20,182.0
SC32,2023/12/02,21,182.0
SC32,2023/12/02,22,182.0
SC32,2023/12/02,23,182.0
SC32,2023/12/03,0,182.0
SC32,2023/12/03,1,182.0
SC32,2023/12/03,2,182.0
SC32,2023/12/03,3,182.0
SC32,2023/12/03,4,182.0
SC32,2023/12/03,5,182.0
SC32,2023/12/03,6,182.0
SC32,2023/12/03,7,182.0
SC32,2023/12/03,8,182.0
SC32,2023/12/03,9,182.0
SC32,2023/12/03,10,182.0
SC32,2023/12/03,11,182.0
SC32,2023/12/03,12,182.0
SC32,2023/12/03,13,182.0
SC32,2023/12/03,14,182.0
SC32,2023/12/03,15,182.0
SC32,2023/12/03,16,182.0
SC32,2023/12/03,17,182.0
SC32,2023/12/03,18,182.0
SC32,2023/12/03,19,182.0
SC32,2023/12/03,20,182.0
SC32,2023/12/03,21,182.0
SC32,2023/12/03,22,182.0
SC32,2023/12/03,23,182.0
SC32,2023/12/04,0,182.0
SC32,2023/12/04,1,182.0
SC32,2023/12/04,2,182.0
SC32,2023/12/04,3,182.0
SC32,2023/12/04,4,182.0
SC32,2023/12/04,5,182.0
SC32,2023/12/04,6,182.0
SC32,2023/12/04,7,182.0
SC32,2023/12/04,8,182.0
SC32,2023/12/04,9,182.0
SC32,2023/12/04,10,182.0
SC32,2023/12/04,11,182.0
SC32,2023/12/04,12,182.0
SC32,2023/12/04,13,182.0
SC32,2023/12/04,14,182.0
SC32,2023/12/04,15,182.0
SC32,2023/12/04,16,182.0
SC32,2023/12/04,17,182.0
SC32,2023/12/04,18,182.0
SC32,2023/12/04,19,182.0
SC32,2023/12/04,20,182.0
SC32,2023/12/04,21,182.0
SC32,2023/12/04,22,182.0
SC32,2023/12/04,23,182.0
SC32,2023/12/05,0,182.0
SC32,2023/12/05,1,182.0
SC32,2023/12/05,2,182.0
SC32,2023/12/05,3,182.0
SC32,2023/12/05,4,182.0
